Probabilities,IWV,A20,A40,A50,A75
0.1,55.47558228614182,0.7681566827118469,0.5971000550455651,0.8489993140119244,1.830532617049757
0.2,54.52112999409181,0.7556454518197322,0.5837860913861873,0.8315325136457369,1.791641138135227
0.3,53.70351551724096,0.7466564381029357,0.5738243766067851,0.8173252791286809,1.7626132510167145
0.5,53.08389833456055,0.735540217785287,0.5652513148892861,0.8048107180998332,1.7342551139584252
1.0,52.018806555549524,0.720911225139577,0.5515959492709769,0.784843630517218,1.6905425367238007
2.0,50.77699397660324,0.7028846358235455,0.5355483171625174,0.7626590146407585,1.6439357455295673
3.0,49.9681319271143,0.6919079533073272,0.5255309503452413,0.7475880362111319,1.6106718346409084
5.0,48.80281160334677,0.6745652178798929,0.5100085769233276,0.7261135258200075,1.5644748694654267
10.0,46.78835465983451,0.6462643392417817,0.484744952126208,0.689778272125367,1.4858051547407518
20.0,43.985522270968836,0.60586256704178,0.449783204344499,0.6397401638259986,1.3775345436245776
30.0,41.46515977639298,0.5706308551476496,0.41950915500577607,0.5961168551612507,1.2827353213650776
50.0,36.3619762553732,0.49810224858480534,0.3596356574926107,0.5107561571038658,1.0979793956397197
60.0,33.5372072924176,0.4586432840846439,0.32765303268026297,0.4649459292188328,1.0004017186971395
70.0,30.48195161479998,0.4165128248243376,0.29402170051903637,0.4169428963409645,0.8964943505949906
80.0,27.01649915395727,0.36850570983756026,0.2570728903628959,0.36412443951578477,0.7830841294030573
90.0,22.317838230355736,0.3030598477239198,0.20859346168600443,0.29501911002640846,0.633702293830297
95.0,18.68198293498009,0.25331915195611737,0.17245925751822863,0.24442812498121488,0.525400522130728
99.0,11.854689725271852,0.15976673765810945,0.10841184905935877,0.15338017756616001,0.32870219208270074
