Latitude,Longitude,Value,dataDate,dataTime
-17.75,-63.5,48.029144287,19790101,600
-17.75,-63.25,52.900238037,19790101,600
-18.0,-63.5,45.195159912,19790101,600
-18.0,-63.25,50.870941162,19790101,600
-17.75,-63.5,46.940597534,19790102,600
-17.75,-63.25,50.768722534,19790102,600
-18.0,-63.5,43.325363159,19790102,600
-18.0,-63.25,48.344894409,19790102,600
-17.75,-63.5,43.219589233,19790103,600
-17.75,-63.25,47.174667358,19790103,600
-18.0,-63.5,41.160995483,19790103,600
-18.0,-63.25,45.526229858,19790103,600
-17.75,-63.5,47.590194702,19790104,600
-17.75,-63.25,52.101913452,19790104,600
-18.0,-63.5,44.658554077,19790104,600
-18.0,-63.25,50.629257202,19790104,600
-17.75,-63.5,44.172897338999995,19790105,600
-17.75,-63.25,48.395553588999995,19790105,600
-18.0,-63.5,41.053756714,19790105,600
-18.0,-63.25,46.743209838999995,19790105,600
-17.75,-63.5,50.610809326,19790106,600
-17.75,-63.25,53.907684326,19790106,600
-18.0,-63.5,46.720184326,19790106,600
-18.0,-63.25,51.329559326,19790106,600
-17.75,-63.5,46.260452271000005,19790107,600
-17.75,-63.25,50.766311646000005,19790107,600
-18.0,-63.5,42.822952271,19790107,600
-18.0,-63.25,48.750686646000005,19790107,600
-17.75,-63.5,33.738128662,19790108,600
-17.75,-63.25,37.013519287,19790108,600
-18.0,-63.5,31.238128661999998,19790108,600
-18.0,-63.25,35.245941162,19790108,600
-17.75,-63.5,32.732254028,19790109,600
-17.75,-63.25,34.451004028,19790109,600
-18.0,-63.5,30.070144653000003,19790109,600
-18.0,-63.25,32.878738403,19790109,600
-17.75,-63.5,32.577438354,19790110,600
-17.75,-63.25,35.628219604,19790110,600
-18.0,-63.5,29.200485229,19790110,600
-18.0,-63.25,33.522750854,19790110,600
-17.75,-63.5,40.849121094000004,19790111,600
-17.75,-63.25,44.794433594,19790111,600
-18.0,-63.5,36.675292969000004,19790111,600
-18.0,-63.25,41.991699219000004,19790111,600
-17.75,-63.5,45.628082275,19790112,600
-17.75,-63.25,49.18862915,19790112,600
-18.0,-63.5,41.483551025,19790112,600
-18.0,-63.25,46.319488525,19790112,600
-17.75,-63.5,49.256942749,19790113,600
-17.75,-63.25,53.163192749,19790113,600
-18.0,-63.5,44.967880249,19790113,600
-18.0,-63.25,49.967880249,19790113,600
-17.75,-63.5,47.75856018100001,19790114,600
-17.75,-63.25,51.60426330600001,19790114,600
-18.0,-63.5,44.71168518100001,19790114,600
-18.0,-63.25,49.75856018100001,19790114,600
-17.75,-63.5,49.331619263,19790115,600
-17.75,-63.25,54.685134888,19790115,600
-18.0,-63.5,45.357009888,19790115,600
-18.0,-63.25,52.155838013,19790115,600
-17.75,-63.5,40.895187378,19790116,600
-17.75,-63.25,44.729171753,19790116,600
-18.0,-63.5,37.791671753,19790116,600
-18.0,-63.25,42.928390503,19790116,600
-17.75,-63.5,42.619903564,19790117,600
-17.75,-63.25,46.703887939,19790117,600
-18.0,-63.5,38.662872314,19790117,600
-18.0,-63.25,43.987091064,19790117,600
