Latitude,Longitude,Value,dataDate,dataTime
-17.75,-63.5,45.928085327,19790101,0
-17.75,-63.25,50.115585327,19790101,0
-18.0,-63.5,42.574569702,19790101,0
-18.0,-63.25,47.613632202,19790101,0
-17.75,-63.5,45.295227051000005,19790102,0
-17.75,-63.25,48.219055176000005,19790102,0
-18.0,-63.5,42.890930176,19790102,0
-18.0,-63.25,47.181945801000005,19790102,0
-17.75,-63.5,41.973983765,19790103,0
-17.75,-63.25,45.501327515,19790103,0
-18.0,-63.5,39.53453064,19790103,0
-18.0,-63.25,43.903671265,19790103,0
-17.75,-63.5,45.33354187,19790104,0
-17.75,-63.25,49.51713562,19790104,0
-18.0,-63.5,43.52885437,19790104,0
-18.0,-63.25,49.022994995,19790104,0
-17.75,-63.5,48.627029418999996,19790105,0
-17.75,-63.25,52.707107543999996,19790105,0
-18.0,-63.5,44.966873168999996,19790105,0
-18.0,-63.25,50.209060668999996,19790105,0
-17.75,-63.5,48.908981323,19790106,0
-17.75,-63.25,52.815231323,19790106,0
-18.0,-63.5,45.574996948,19790106,0
-18.0,-63.25,50.578903198,19790106,0
-17.75,-63.5,47.23324585,19790107,0
-17.75,-63.25,51.17855835,19790107,0
-18.0,-63.5,44.20980835,19790107,0
-18.0,-63.25,49.6512146,19790107,0
-17.75,-63.5,35.828323364,19790108,0
-17.75,-63.25,39.119338989,19790108,0
-18.0,-63.5,33.252151489,19790108,0
-18.0,-63.25,37.668167114,19790108,0
-17.75,-63.5,34.257064819,19790109,0
-17.75,-63.25,36.415267944,19790109,0
-18.0,-63.5,31.540267944,19790109,0
-18.0,-63.25,34.645736694,19790109,0
-17.75,-63.5,33.642456055,19790110,0
-17.75,-63.25,33.794799805,19790110,0
-18.0,-63.5,31.88659668,19790110,0
-18.0,-63.25,33.13269043,19790110,0
-17.75,-63.5,39.813690186,19790111,0
-17.75,-63.25,43.796112061,19790111,0
-18.0,-63.5,35.807830811,19790111,0
-18.0,-63.25,40.743377686,19790111,0
-17.75,-63.5,43.311462402,19790112,0
-17.75,-63.25,46.395446777,19790112,0
-18.0,-63.5,40.096618652,19790112,0
-18.0,-63.25,44.288024902,19790112,0
-17.75,-63.5,48.042175293,19790113,0
-17.75,-63.25,52.241394043,19790113,0
-18.0,-63.5,44.799987793,19790113,0
-18.0,-63.25,49.858581543,19790113,0
-17.75,-63.5,45.874435425,19790114,0
-17.75,-63.25,49.015060425,19790114,0
-18.0,-63.5,43.296310425,19790114,0
-18.0,-63.25,47.850997925,19790114,0
-17.75,-63.5,49.182693481,19790115,0
-17.75,-63.25,54.006912231,19790115,0
-18.0,-63.5,46.309646606,19790115,0
-18.0,-63.25,52.692459106,19790115,0
-17.75,-63.5,42.403137207,19790116,0
-17.75,-63.25,46.867980957,19790116,0
-18.0,-63.5,39.110168457,19790116,0
-18.0,-63.25,44.928527832,19790116,0
-17.75,-63.5,41.448410034,19790117,0
-17.75,-63.25,44.460128784,19790117,0
-18.0,-63.5,37.528488159,19790117,0
-18.0,-63.25,41.809738159,19790117,0
-17.75,-63.5,38.350006104,19790118,0
-17.75,-63.25,41.508209229,19790118,0
-18.0,-63.5,34.060943604,19790118,0
-18.0,-63.25,38.240631104,19790118,0
-17.75,-63.5,36.761627196999996,19790119,0
-17.75,-63.25,39.499908446999996,19790119,0
-18.0,-63.5,34.269439696999996,19790119,0
-18.0,-63.25,38.279205321999996,19790119,0
-17.75,-63.5,34.480758666999996,19790120,0
-17.75,-63.25,37.074508666999996,19790120,0
-18.0,-63.5,32.000289916999996,19790120,0
-18.0,-63.25,35.947555541999996,19790120,0
-17.75,-63.5,41.248687744,19790121,0
-17.75,-63.25,43.776031493999994,19790121,0
-18.0,-63.5,39.428375244,19790121,0
-18.0,-63.25,43.920562743999994,19790121,0
-17.75,-63.5,41.40536499,19790122,0
-17.75,-63.25,44.036224365,19790122,0
-18.0,-63.5,37.270599365,19790122,0
-18.0,-63.25,41.21005249,19790122,0
-17.75,-63.5,38.402420044,19790123,0
-17.75,-63.25,41.349685669,19790123,0
-18.0,-63.5,33.945388794,19790123,0
-18.0,-63.25,38.084060669,19790123,0
-17.75,-63.5,41.163650513,19790124,0
-17.75,-63.25,45.644119263,19790124,0
-18.0,-63.5,36.718338013,19790124,0
-18.0,-63.25,41.970291138,19790124,0
-17.75,-63.5,45.028991698999995,19790125,0
-17.75,-63.25,49.374694823999995,19790125,0
-18.0,-63.5,39.825866699,19790125,0
-18.0,-63.25,45.392272948999995,19790125,0
-17.75,-63.5,41.333236694,19790126,0
-17.75,-63.25,44.31761169399999,19790126,0
-18.0,-63.5,39.651596069,19790126,0
-18.0,-63.25,43.74729919399999,19790126,0
-17.75,-63.5,42.458190918,19790127,0
-17.75,-63.25,45.786315918,19790127,0
-18.0,-63.5,40.714050293,19790127,0
-18.0,-63.25,45.471862793,19790127,0
-17.75,-63.5,43.275634766,19790128,0
-17.75,-63.25,46.910400391,19790128,0
-18.0,-63.5,37.705322265999996,19790128,0
-18.0,-63.25,42.877197265999996,19790128,0
-17.75,-63.5,46.239868163999994,19790129,0
-17.75,-63.25,49.245727538999994,19790129,0
-18.0,-63.5,42.978149413999994,19790129,0
-18.0,-63.25,47.894165038999994,19790129,0
-17.75,-63.5,47.530685425,19790130,0
-17.75,-63.25,51.600997925,19790130,0
-18.0,-63.5,44.8724823,19790130,0
-18.0,-63.25,50.25920105,19790130,0
-17.75,-63.5,46.095916748,19790131,0
-17.75,-63.25,47.869354248,19790131,0
-18.0,-63.5,42.494354248,19790131,0
-18.0,-63.25,45.484588623,19790131,0
-17.75,-63.5,39.41960144,19790201,0
-17.75,-63.25,38.54460144,19790201,0
-18.0,-63.5,35.609054565,19790201,0
-18.0,-63.25,34.851242065,19790201,0
-17.75,-63.5,43.765380859,19790202,0
-17.75,-63.25,48.005615234,19790202,0
-18.0,-63.5,39.825927734000004,19790202,0
-18.0,-63.25,44.898193359,19790202,0
-17.75,-63.5,42.28465271,19790203,0
-17.75,-63.25,46.37059021,19790203,0
-18.0,-63.5,39.579574585,19790203,0
-18.0,-63.25,45.153793335,19790203,0
-17.75,-63.5,39.504379272,19790204,0
-17.75,-63.25,42.430160522,19790204,0
-18.0,-63.5,36.656723022,19790204,0
-18.0,-63.25,40.488754272,19790204,0
-17.75,-63.5,37.8931427,19790205,0
-17.75,-63.25,39.92048645,19790205,0
-18.0,-63.5,34.46736145,19790205,0
-18.0,-63.25,37.941970825,19790205,0
-17.75,-63.5,39.559768677,19790206,0
-17.75,-63.25,41.116409302,19790206,0
-18.0,-63.5,38.538284302,19790206,0
-18.0,-63.25,40.575393677,19790206,0
-17.75,-63.5,42.147659302,19790207,0
-17.75,-63.25,46.874221802,19790207,0
-18.0,-63.5,37.753128052,19790207,0
-18.0,-63.25,43.680862427,19790207,0
-17.75,-63.5,44.116241455,19790208,0
-17.75,-63.25,48.32131958,19790208,0
-18.0,-63.5,40.26272583,19790208,0
-18.0,-63.25,45.61038208,19790208,0
-17.75,-63.5,47.239959717,19790209,0
-17.75,-63.25,51.210662842,19790209,0
-18.0,-63.5,44.038787842,19790209,0
-18.0,-63.25,49.321990967,19790209,0
-17.75,-63.5,45.958343506000006,19790210,0
-17.75,-63.25,49.669281006000006,19790210,0
-18.0,-63.5,42.528656006,19790210,0
-18.0,-63.25,47.567718506000006,19790210,0
-17.75,-63.5,44.200653076,19790211,0
-17.75,-63.25,48.056121826,19790211,0
-18.0,-63.5,41.274871826,19790211,0
-18.0,-63.25,46.304168701,19790211,0
-17.75,-63.5,46.38729858399999,19790212,0
-17.75,-63.25,50.46347045899999,19790212,0
-18.0,-63.5,41.205657959,19790212,0
-18.0,-63.25,46.70761108399999,19790212,0
-17.75,-63.5,46.449264526,19790213,0
-17.75,-63.25,50.558639526,19790213,0
-18.0,-63.5,41.515670776,19790213,0
-18.0,-63.25,46.728561401,19790213,0
-17.75,-63.5,46.60218811,19790214,0
-17.75,-63.25,50.600234985,19790214,0
-18.0,-63.5,43.30531311,19790214,0
-18.0,-63.25,48.44203186,19790214,0
-17.75,-63.5,47.802200317,19790215,0
-17.75,-63.25,51.546340942,19790215,0
-18.0,-63.5,44.060012817,19790215,0
-18.0,-63.25,49.077590942,19790215,0
-17.75,-63.5,48.906463623,19790216,0
-17.75,-63.25,52.759979248,19790216,0
-18.0,-63.5,45.084197998,19790216,0
-18.0,-63.25,50.240447998,19790216,0
-17.75,-63.5,46.304794312,19790217,0
-17.75,-63.25,49.683700562,19790217,0
-18.0,-63.5,42.431747437,19790217,0
-18.0,-63.25,47.316513062,19790217,0
-17.75,-63.5,36.974334717,19790218,0
-17.75,-63.25,39.628631592,19790218,0
-18.0,-63.5,34.255584717,19790218,0
-18.0,-63.25,37.814178467,19790218,0
-17.75,-63.5,36.016540527,19790219,0
-17.75,-63.25,38.485290527,19790219,0
-18.0,-63.5,32.217712402,19790219,0
