Latitude,Longitude,Value,dataDate,dataTime
-17.75,-63.5,47.20262146,19790101,1200
-17.75,-63.25,51.56590271,19790101,1200
-18.0,-63.5,43.85887146,19790101,1200
-18.0,-63.25,49.35496521,19790101,1200
-17.75,-63.5,46.54309082,19790102,1200
-17.75,-63.25,50.322387695,19790102,1200
-18.0,-63.5,43.154418945,19790102,1200
-18.0,-63.25,48.017700195,19790102,1200
-17.75,-63.5,46.409851073999995,19790103,1200
-17.75,-63.25,50.402038573999995,19790103,1200
-18.0,-63.5,44.532897948999995,19790103,1200
-18.0,-63.25,49.675476073999995,19790103,1200
-17.75,-63.5,47.714508056999996,19790104,1200
-17.75,-63.25,51.489898681999996,19790104,1200
-18.0,-63.5,43.847320556999996,19790104,1200
-18.0,-63.25,49.265289306999996,19790104,1200
-17.75,-63.5,45.898895264,19790105,1200
-17.75,-63.25,49.838348389,19790105,1200
-18.0,-63.5,42.502410889000004,19790105,1200
-18.0,-63.25,48.268035889,19790105,1200
-17.75,-63.5,48.234634398999994,19790106,1200
-17.75,-63.25,52.715103148999994,19790106,1200
-18.0,-63.5,45.295181273999994,19790106,1200
-18.0,-63.25,51.287368773999994,19790106,1200
-17.75,-63.5,44.629882812,19790107,1200
-17.75,-63.25,49.233398438,19790107,1200
-18.0,-63.5,40.723632812,19790107,1200
-18.0,-63.25,46.508789062,19790107,1200
-17.75,-63.5,33.655258179,19790108,1200
-17.75,-63.25,36.344711304,19790108,1200
-18.0,-63.5,31.502914429,19790108,1200
-18.0,-63.25,35.202133179,19790108,1200
-17.75,-63.5,34.232055664,19790109,1200
-17.75,-63.25,36.265258789,19790109,1200
-18.0,-63.5,31.415649414,19790109,1200
-18.0,-63.25,34.816040039,19790109,1200
-17.75,-63.5,32.55581665,19790110,1200
-17.75,-63.25,36.038238525,19790110,1200
-18.0,-63.5,28.5050354,19790110,1200
-18.0,-63.25,33.237457275,19790110,1200
-17.75,-63.5,41.122695923,19790111,1200
-17.75,-63.25,44.343399048,19790111,1200
-18.0,-63.5,36.235977173,19790111,1200
-18.0,-63.25,40.786758423,19790111,1200
-17.75,-63.5,47.774551392,19790112,1200
-17.75,-63.25,51.380020142,19790112,1200
-18.0,-63.5,43.743301392,19790112,1200
-18.0,-63.25,48.817520142,19790112,1200
-17.75,-63.5,51.034072876,19790113,1200
-17.75,-63.25,55.397354126,19790113,1200
-18.0,-63.5,46.522354126,19790113,1200
-18.0,-63.25,52.303604126,19790113,1200
-17.75,-63.5,50.187759398999994,19790114,1200
-17.75,-63.25,54.316665648999994,19790114,1200
-18.0,-63.5,46.648696898999994,19790114,1200
-18.0,-63.25,52.679946898999994,19790114,1200
-17.75,-63.5,46.15940856899999,19790115,1200
-17.75,-63.25,51.13792419399999,19790115,1200
