Probabilities,IWV,A20,A40,A50,A75
0.1,15.322351912043619,0.20770823978785422,0.1024385018630297,0.1469079163817966,0.3191983048050803
0.2,15.07550186255277,0.20436509005849085,0.10071282247621478,0.1444355282762333,0.3138293874317743
0.3,14.886013462548716,0.2016230840443754,0.09941712246916969,0.14257917343403448,0.30979821783470524
0.5,14.624878709259495,0.19812603937728615,0.09757668002773057,0.1399423638180916,0.3040722507321777
1.0,14.242840993090761,0.19306275102909276,0.09500281155022615,0.1362238151943999,0.2959972319823715
2.0,13.760044185623967,0.18649868024995375,0.09196368822277123,0.1318847213854963,0.2865746675869975
3.0,13.498024580019154,0.18271773710364994,0.09012672348143456,0.1292114140637387,0.2807694438473774
5.0,13.075353208165636,0.17713751550374962,0.08728396659441554,0.12513741336286732,0.2719097160757433
10.0,12.357688640140845,0.16738020727869884,0.08240046710234748,0.11819117548061797,0.25678814966669344
20.0,11.188925959686548,0.1516226824452532,0.07469963589786412,0.10713234961329186,0.2327964556492544
30.0,10.100654273574182,0.1368517475762085,0.06767156833007054,0.09707066590301269,0.21091879231630703
50.0,7.949537734675947,0.10780190320141562,0.05366520124968845,0.07703461743002966,0.16746942593275796
60.0,6.773927582010064,0.0919481921472436,0.04608280403407378,0.0661817309639731,0.14393417496993732
70.0,5.543541243937994,0.07533455796833566,0.03829915807601165,0.05510713772658101,0.11995884385331888
80.0,4.123119892732586,0.056191653810622334,0.029102397593965396,0.041932132237146466,0.09134246176751325
90.0,2.6060420467922722,0.03566501911136219,0.019309889245117257,0.027913196902173375,0.06095877040738154
95.0,1.7402134224596695,0.024018673918387138,0.013623977618866136,0.01977145068987419,0.043174190749185576
99.0,0.9198024707031514,0.012948885782474854,0.007735639779013932,0.011271328905754479,0.024792840837464615
