Probabilities,IWV,A20,A40,A50,A75
0.1,16.541540742405413,0.2242644801319987,0.11078822824228886,0.15888238712961822,0.34521542170222186
0.2,16.043239659278193,0.21747601856813317,0.10735540756016008,0.15395360282358928,0.3344998114469098
0.3,15.806905534056547,0.21425804091703596,0.10573297354338795,0.1516246150677368,0.32943694664675094
0.5,15.452046808030106,0.20942818319159215,0.10330367719537116,0.14813795741000998,0.32185815915569943
1.0,14.957491753615006,0.20270088475491635,0.09993155591269057,0.14329925022698134,0.3113418336669284
2.0,14.426116875447288,0.1954777452647737,0.09632568968507214,0.1381266172132182,0.30010150888280307
3.0,14.07383842866894,0.19069193223816244,0.09394490520934685,0.1347122103657284,0.2926828695200868
5.0,13.566085126424891,0.18379782214216658,0.09052684652308832,0.1298113654290211,0.2820359647386802
10.0,12.727335078271256,0.1724193258843949,0.08491468085735202,0.12176758139052751,0.26456469210068956
20.0,11.525122305038996,0.15613040761895358,0.07694175644519051,0.11034652525509635,0.2397654654281964
30.0,10.526915318893053,0.14262258913181117,0.07038187352562639,0.10095508690615758,0.2193797964192741
50.0,8.665258049114712,0.11746668947138146,0.058277614829996216,0.08363815137939658,0.18180505400132643
60.0,7.67331814163166,0.10407882316880131,0.051886272285693966,0.07449992752068171,0.1619833994556529
70.0,6.621806648881787,0.08989541151979212,0.045143286296439766,0.06486205341348297,0.14108178605811017
80.0,5.43868652344842,0.07394197928583285,0.03757772412676522,0.054050501334987164,0.11763740929376143
90.0,4.004929134971456,0.05460358240824798,0.028393369247336035,0.04092365272556383,0.08917026719039571
95.0,3.0336964104461623,0.041487796280624274,0.022113245710287423,0.03194115136616482,0.06968285861707718
99.0,1.663848726736118,0.02293095195476601,0.01302370312900433,0.01891400212338686,0.04138884313746804
