Probabilities,IWV,A20,A40,A50,A75
0.1,61.18921170355753,0.8535820239601534,0.7074712257950683,1.0092985646049066,2.176946150891319
0.2,60.58111660065208,0.8447354843285961,0.6985507226418409,0.9964611445767297,2.1491338036940277
0.3,60.056591950953944,0.8371104780054395,0.69088877676827,0.9854362645115925,2.12524978156499
0.5,59.29726603219871,0.8260816440373062,0.6798505008008804,0.9695553850520502,2.0908482380876094
1.0,58.03011997540494,0.8077020440120861,0.6615709844471412,0.9432624337097458,2.033898183146152
2.0,56.662084693187914,0.7878944823323587,0.6420338301537274,0.9151690106048341,1.973057416544126
3.0,55.77451922542768,0.775063349560675,0.6294681364803144,0.8971049787302258,1.933942019951449
5.0,54.502845792063326,0.756706640241035,0.6116149607999954,0.8714464963265992,1.878388947401615
10.0,52.475417006646964,0.727507504120499,0.5835181207872394,0.831082345906898,1.7910144322032056
20.0,49.90226651977325,0.6905684982405044,0.5485065756907389,0.7808142693802752,1.682233539106094
30.0,47.85985866666676,0.6613448555936711,0.5212321552333166,0.7416792449795707,1.597571266517339
50.0,43.94772968073511,0.6056092569826488,0.4702614549608974,0.6686056701350561,1.4395565274956645
60.0,41.89060584190166,0.5764299707990108,0.44412875975365584,0.6311749469873259,1.3586535687438703
70.0,39.70932698673186,0.5455871366368821,0.4169216745275054,0.592232043848883,1.2745116486873518
80.0,37.103099086189815,0.5088681561532056,0.38509119592474783,0.5467085652006242,1.1761925685921697
90.0,33.39987769894466,0.45694361549623536,0.3411258664953621,0.4839020043571603,1.040626670440415
95.0,30.366512159968753,0.414631046989921,0.3062116923641938,0.4340911981036455,0.9331853719986339
99.0,24.650284164195753,0.3354325268991827,0.2430766625578634,0.34418769405703914,0.7394554742400955
