Probabilities,IWV,A20,A40,A50,A75
0.1,20.687661698863703,0.2805562391979824,0.159762836957754,0.22747613475820955,0.49142352383718685
0.2,20.290903683719627,0.27531408358081344,0.15705209756041322,0.22374121401231906,0.48335856490819706
0.3,20.06076309558258,0.2722595590529105,0.15505068664951405,0.22077779393120994,0.47695953722607415
0.5,19.70115476426555,0.26736479823284237,0.15199650993979424,0.21635506398916146,0.46697515626492225
1.0,19.234469888778534,0.2610524332794579,0.14797716597660504,0.2106210302809312,0.4549860228553197
2.0,18.747441575501288,0.25435328223662906,0.14371184771593032,0.2047220290442366,0.4421050366583659
3.0,18.378451358322756,0.24948209199115087,0.1409291373585304,0.20053640746074916,0.433015508700805
5.0,17.866858648068977,0.2424058942797959,0.13695585436274246,0.1949905091165065,0.42105544431077174
10.0,16.890692780719792,0.22902932484398478,0.12908803753616924,0.18373473513732047,0.39678385107141767
20.0,15.381899342600502,0.20828232052640697,0.11718678121642642,0.16679588768110698,0.3601368995638827
30.0,13.969429329152833,0.18925588521158906,0.1064138703248198,0.15141996091975166,0.326864986416205
50.0,11.259727307623216,0.15254525688226522,0.08568050626484221,0.1219905281889956,0.26346681579423614
60.0,9.796154409310217,0.13277138899934793,0.07468828684748849,0.10634245262700885,0.22967132722629266
70.0,8.208031633287685,0.11117894568215322,0.0630580773262062,0.08986265255081617,0.19417919307291884
80.0,6.486319877835582,0.08804055209406238,0.05041336108890752,0.07188773010465467,0.15538394890601903
90.0,4.553542274795594,0.06202636389662453,0.03644717399567903,0.05207163070197359,0.11269938296082338
95.0,3.2781699611419355,0.04477736114561041,0.02698764873854345,0.03866705401432235,0.08387188966461903
99.0,1.703214454117245,0.023507573298761936,0.015416357138016932,0.022218667144666658,0.04821609809008976
