Probabilities,IWV,A20,A40,A50,A75
0.1,29.917700228592967,0.40838736877068277,0.23885028254583415,0.3407691325182315,0.7366818307975953
0.2,29.340796287375074,0.40036809676174817,0.23369359866418754,0.3333713797612801,0.7206424215694462
0.3,29.094141604565227,0.396941650244893,0.23149743449406718,0.33022133342700294,0.7138132970131067
0.5,28.69782370769084,0.39143887076340955,0.22797943595979486,0.32517603307972176,0.7028761708257311
1.0,27.99843523966361,0.3817362625080224,0.22180340759069456,0.316320880696091,0.6836825337774962
2.0,27.234511119504802,0.37115034978605277,0.21510441039700268,0.30671903395905653,0.6628740028948298
3.0,26.648120706374513,0.36303305762714166,0.20999538488595768,0.2993983764854806,0.6470116837569062
5.0,25.863785637714635,0.35218715418459434,0.20320659690533202,0.28967387895473,0.6259442604634656
10.0,24.539821680952148,0.3339089435831506,0.1918630404651549,0.27343301553813737,0.5907688113681481
20.0,22.697109356779624,0.30853090459504046,0.17631555991809825,0.25119032187329293,0.5426137935972358
30.0,21.144649372873488,0.2872055645916452,0.16343207103924734,0.2327744720401071,0.5027618573311892
50.0,18.270174842577607,0.24785138490618414,0.14008700888825876,0.1994430762792014,0.4306770567960293
60.0,16.785241684442685,0.22758620508181482,0.12828015263761364,0.18260541000956243,0.3942857812479722
70.0,15.149137480058362,0.20530725200286018,0.11546432198315626,0.1643445786016787,0.35483698794341656
80.0,13.340462058187088,0.18073583184902114,0.10152304384554037,0.1444991548017835,0.31198732305259924
90.0,11.151021846590613,0.15106631627037145,0.08494423677351524,0.12092509085475596,0.2611174298996823
95.0,9.54171999829999,0.12930460309290903,0.07294524046272897,0.1038801305654949,0.22435659298126065
99.0,7.19084697974881,0.09757009763197251,0.055645828587705344,0.07932719443592029,0.17142903969733617
