Probabilities,IWV,A20,A40,A50,A75
0.1,15.135236613224363,0.20511817846824504,0.10114170816812629,0.1450355623973665,0.3151153100949318
0.2,14.846009390522612,0.20118504407368476,0.09917356805191772,0.14221178582292218,0.30897858264871286
0.3,14.636957747589811,0.19834315379472808,0.09775430960092692,0.14017579640840327,0.3045542351938033
0.5,14.375288899733285,0.19478709376323988,0.09598170488694405,0.1376332493699098,0.2990294968319382
1.0,14.011278145429497,0.1898422630450438,0.09352291174402803,0.1341070774301607,0.2913681519806741
2.0,13.594236788385443,0.18417993780561703,0.0907159438563677,0.13008245889733805,0.28262486250570074
3.0,13.313003348383885,0.18036324250332553,0.08882902376283028,0.12737752425947044,0.27674914337818435
5.0,12.892872890464181,0.17466406759563033,0.08601900480825561,0.12335008934761722,0.2680015848571406
10.0,12.156107706988513,0.16467679907261656,0.08111616501911331,0.11632536012772013,0.2527465693484324
20.0,10.959053839186797,0.14846851712414474,0.0732153222486406,0.10501099304335527,0.22818310088460914
30.0,9.840880207276317,0.1333473296419375,0.06590284952698659,0.09454542729282096,0.20546983644739633
50.0,7.706042643395819,0.1045203532142655,0.052096595796238675,0.07480059286671403,0.16263550780634756
60.0,6.558941267538691,0.08904763995328155,0.04474091858205661,0.0642870163386157,0.13983479846297062
70.0,5.325820429233195,0.07242008185506542,0.03685618576425947,0.05301939961601118,0.11540153220020492
80.0,3.910390844504982,0.05332773170257197,0.027785171589153432,0.04005408783802312,0.08728416948825626
90.0,2.430750662048691,0.03333172120246616,0.01816090216158277,0.02628207026192752,0.057398323307335915
95.0,1.6348696863729182,0.02253709908223974,0.012826035446854893,0.018630095618965746,0.040771478466965085
99.0,0.8488984925716769,0.011817025190473356,0.007295093143414691,0.010666741748459403,0.02343115626122179
