Probabilities,IWV,A20,A40,A50,A75
0.1,15.45595208536065,0.20948132370820638,0.10333036772260777,0.14817626135776502,0.3219414142717706
0.2,15.177486042903874,0.20569284788610812,0.10142965418902475,0.1454487292610045,0.3160132634506837
0.3,14.992287144785756,0.20317404911917658,0.10016829737104407,0.14363891054632896,0.3120799915128698
0.5,14.76252104188186,0.20004999090223854,0.09860643192676817,0.14139817536610202,0.307210516564257
1.0,14.408245432066986,0.19523490244256353,0.0962047240194795,0.13795311792688653,0.2997245198721571
2.0,13.996455385667417,0.1896409563327886,0.09342296183252881,0.1339637536875664,0.2910567691138876
3.0,13.718849401231159,0.1858715292406397,0.09155355678704173,0.13128332725243705,0.2852335754403932
5.0,13.303772177327362,0.1802379869482441,0.08876716848503707,0.12728886070044115,0.2765565548765845
10.0,12.600653518183798,0.17070179564485355,0.08407065437432268,0.1205581791128057,0.2619382257094657
20.0,11.522076642280048,0.15608917071955203,0.07692166065772821,0.11031774773883499,0.23970299017226815
30.0,10.51045461437331,0.14239996312075812,0.0702741323612335,0.100800879619916,0.21904511201706736
50.0,8.427824353615327,0.11426126665258167,0.05674454804331646,0.08144588940034068,0.17704945552333246
60.0,7.301727803790849,0.09906577689714863,0.04950022371781694,0.07108919568840223,0.15458617951154757
70.0,6.078611644818337,0.08257059169413651,0.04166844665731288,0.05989622222444628,0.1303134377612862
80.0,4.726396219254272,0.06433657555040363,0.03302157619448795,0.04753931838158032,0.10351799687509729
90.0,3.1681588463731463,0.0433049528403471,0.022987839390246546,0.03319266158450143,0.0723986790643539
95.0,2.2334029922928718,0.030658745526978694,0.016853380449357386,0.024408361073372662,0.053329052208759886
99.0,1.1808440976969463,0.016355039434602106,0.009678893182040472,0.014104238249066746,0.030922904490454692
